50-50-83 наконечник;0;;50-50-83;50-50-83;Наконечник
50-50-60 протектор;0;;50-50-60;50-50-60;Протектор
50-18-116СП лента тормоза;0;;18360-01СП;18360-01СП;Лента тормоза
50-18-117СП лента тормоза;0;;в сборе с предыдущим;;
0;24-22-1СП;;24-22-9СП;;
0;24-21-146СП;;50-21-306СП;50-21-306СП;Колесо натяжное
0;50-21-138СП;;50-21-305СП;50-21-305СП;Колесо натяжное
0;50-21-134СП;;50-21-420СП;50-21-420СП;Механизм натяжения
0;50-19-201;;;50-19-201;Сегмент
1.НШ-100а-зл(левый)-2 шт.;0;;НШ 100А-3Л;НШ 100А-3Л;НАСОС НШ 100А-3Л
2.Болт 16137              20 шт.;0;;700-28-2509;700-28-2509;Болт
3.Фильтр воздушный 10 шт.;0;;А41.10.000-02;;
4.Колесо натяжное (правое) 50-21-306-05сп 1шт.;0;;50-21-306-05СП;50-21-306-05СП;Колесо натяжное
5.Фрикцион 24-16-101сп 1шт.;0;;24-16-101СП;24-16-101СП;Фрикцион бортовой правый
5.Фрикцион 24-16-102сп 1шт.;0;;24-16-102СП;24-16-102СП;Фрикцион бортовой левый
6.Насос топливоподкачивающий АВ10м.80.16.085. 3шт.;0;;51-71-4СП;51-71-4СП;Насос топливоподкачивающий
7.Муфта сцепления 18-14-4сп 1шт.;0;;18-14-4СП;18-14-4СП;МУФТА СЦЕПЛЕНИЯ 18-14-4СБ(СП)
8.Радиатор системы охлаждения дизеля 130у.13.010.1;0;;130У.13.010-1СП;130У.13.010-1СП;РАДИАТОР 130У.13.010-1СП(130У.13.010-1)БЕЗ ПРОБКИ
9.Вал карданный 18-1477-1 1шт.;0;;50-14-23;50-14-23;Вал карданный
10.Муфта 18-14-126 1шт.;0;;50-14-26;50-14-26;Муфта
11.Шестерня двойная 50-19-144сп 2шт.;0;;50-19-174СП;50-19-174СП;Шестерня двойная. Комплект
12.Шестерня 60-19-1 2шт.;0;;60-19-1;60-19-1;Шестерня
13.Венец 60-19-2 2шт.;0;;60-19-2;60-19-2;Венец
14.Подшипник 70-324-17м 2шт.;0;;70-32417М;70-32417М;ПОДШИПНИК 70-32417М
15.Подшипник 70-326-12к 2шт.;0;;70-32612К1М(70-32612КМ);70-32612К1М(70-32612КМ);ПОДШИПНИК 70-32612К1М(70-32612КМ,70-32612М)
16.Подшипник 213 2шт.;0;;213(213А,213АК,6-213А);213(213А,213АК,6-213А);ПОДШИПНИК 213(213А,213АК,6-213А,6-213АК)
17.Шестерня 50-19-150 2шт.;0;;50-19-150;50-19-150;Шестерня
18.Ступица 50-19-145сп 1шт.;0;;50-19-145СП;50-19-145СП;Ступица
19.Фланец на фрикцион 1шт.;0;;24-16-4;24-16-4;Полуось
Болт 16137 – 20 шт.;0;;700-28-2509;700-28-2509;Болт
Фильтр воздушный – 10 шт.;0;;А41.10.000-02СП;;
Колесо натяжное (правое) 50-21-306-05сп – 1 шт.;50-21-306-05сп;;;50-21-306-05СП;Колесо натяжное
Фрикцион 24-16-101сп – 1 шт.;24-16-101сп;;;24-16-101СП;Фрикцион бортовой правый
Фрикцион 24-16-102сп – 1 шт.;24-16-102сп;;;24-16-102СП;Фрикцион бортовой левый
Радиатор системы охлаждения дизеля 130у.13.010.1 – 1 шт.;130у.13.010.1 ;;130У.13.010-1СП;130У.13.010-1СП;РАДИАТОР 130У.13.010-1СП(130У.13.010-1)БЕЗ ПРОБКИ
Муфта 18-14-126 – 1 шт.;18-14-126;;50-14-26;50-14-26;Муфта
Шестерня двойная 50-19-144сп – 2 шт.;50-19-144сп;;50-19-174СП;50-19-174СП;Шестерня двойная. Комплект
Шестерня 60-19-1 – 2 шт.;60-19-1;;;60-19-1;Шестерня
Венец 60-19-2 – 2 шт.;60-19-2;;;60-19-2;Венец
Подшипник 70-324-17м – 2 шт.;70-324-17м;;70-32417М;70-32417М;ПОДШИПНИК 70-32417М
Подшипник 70-32612к – 2 шт.;70-32612к;;70-32612К1М(70-32612КМ);70-32612К1М(70-32612КМ);ПОДШИПНИК 70-32612К1М(70-32612КМ,70-32612М)
Подшипник 213 – 2 шт.;213;;213(213А,213АК,6-213А);213(213А,213АК,6-213А);ПОДШИПНИК 213(213А,213АК,6-213А,6-213АК)
Шестерня 50-19-150 – 2 шт.;50-19-150;;;50-19-150;Шестерня
0;24-21-169СП;;;24-21-169СП;Каток однобортный
0;КАТ-21-169СП-Б;;;КАТ-21-169СП-Б;Каток однобортный
0;20-21-64;;50-21-210;;
0;24-21-169СП;;;24-21-169СП;Каток однобортный
0;24-21-170СП;;;24-21-170СП;Каток двубортный
Генератор 14V Г1000В.10.1;Г1000В.10.1;;;;
Стартер (ПД-23) СТ62.3708;СТ62.3708;;СТ230Е;;
Кожух левый 24-19-35;24-19-35;;;24-19-35;Кожух левый
Кожух правый 24-19-36;24-19-36;;;24-19-36;Кожух правый
Корпус подшипника 28-16-11;28-16-11;;;28-16-11;Корпус подшипника
Мультициклон 51-05-216СП;51-05-216СП;;;51-05-216СП;Мультициклон
Опора правая 24-21-124;24-21-124;;24-21-148СП;24-21-148СП;Опора
Опора левая 24-21-125;24-21-125;;24-21-149СП;24-21-149СП;Опора
Упор 24-21-сб119;24-21-сб119;;24-21-119СП;24-21-119СП;Упор
Плита 24-21-сб120;24-21-сб120;;50-21-123СП;;
Стопор 18-21-45;18-21-45;;;18-21-45;Стопор
Вал карданный 18-14-77-1;18-14-77-1;;50-14-23;50-14-23;Вал карданный
Муфта 18-14-78;18-14-78;;;18-14-78;Муфта карданного вала
Уплотнение 20-19-123СП;20-19-123СП;;;20-19-123СП;Уплотнение
Уплотнение 24-19-119СП;24-19-119СП;;;24-19-119СП;Уплотнение
Пластина 18-14-143;18-14-143;;;;
Пластина 18-14-144;18-14-144;;;;
Шайба 3170;3170;;;3170;ШАЙБА 3170
Полуось 20-19-37-1;20-19-37-1;;24-19-37-01;24-19-37-01;Полуось
Прокладка 700-40-3047;700-40-3047;;;700-40-3047;ПРОКЛАДКА 700-40-3047
Пружина 38441;38441;;;38441;ПРУЖИНА 38441
Пружина 700-38-2778;700-38-2778;;;700-38-2778;Пружина
Пружина 38333;38333;;;38333;Пружина
Пружина 700-38-2777;700-38-2777;;;700-38-2777;Пружина
;;;;;
наименование заказчика;чод заказчика;;;Ч. О. Д. ЧТЗ;наименование детали ЧТЗ
ПОДШИПНИК 92.255 (украина);92.255;;;;
ПОДШИПНИК 92.256 (турбодизель);92.256;;;;
РОТОР 92.550 (украина);92.550;;;;
РОТОР 92.550 (турбодизель);92.550;;;;
КОЛЬЦО УПЛОТНИТЕЛЬНОЕ ПОД ТКР-8,5  51-54-30;51-54-30;;;51-54-30;Кольцо уплотнительное
ШТУЦЕР 50-26-661;50-26-661;;;50-26-661;Штуцер
МАНЖЕТА 75Х100;75Х100;;;;
ПРОКЛАДКА 700-40-4456;700-40-4456;;;700-40-4456;ПРОКЛАДКА 700-40-4456
ПРОКЛАДКА 700-40-2195;700-40-2195;;;700-40-2195;ПРОКЛАДКА 700-40-2195
ПРОКЛАДКА 700-40-7399СП;700-40-7399СП;;;;
ПРОКЛАДКА ПОД ГОЛОВКУ БЛОКА 51-02-107-01СП;51-02-107-01СП( медная);;;;
ПРОКЛАДКА  ПОДДОНА 700-40-4947;700-40-4947;;;700-40-4947;Прокладка
ПРОКЛАДКА ПОД ТКР-11 700-40-2754СП;700-40-2754СП;;;;
ПРОКЛАДКА КОЛЛЕКТОРА  700-40-3880СП;700-40-3880СП;;;700-40-3880СП;Прокладка
ШПИЛЬКА 29311;29311;;;29311;Шпилька М12х1,75-3n/1,25-6gх38.66.016 ГОСТ 22034-76
РЕМЕНЬ ВЕНТИЛЯТОРА 11-16*11-1650;11-16*11-1650;;;11-16Х11-1650;РЕМЕНЬ ВЕНТИЛЯТОРНЫЙ 11-16Х11-1650
РАДИАТОР ВОДЯНОЙ 130У.13.010-1СП;130У.13.010-1СП;;;130У.13.010-1СП;РАДИАТОР 130У.13.010-1СП(130У.13.010-1)БЕЗ ПРОБКИ
ПАТРУБОК 50-08-52;50-08-52;;;50-08-52;Патрубок
КАРБЮРАТОР  К125Л(Вебер);К125Л(Вебер);;;;
ФАРА ФГ-318 (ФГ761.3711);ФГ-318 (ФГ761.3711);;;;
ПЛАСТИНА 18-14-122;18-14-122;;;;
ВТУЛКА 14355;14355;;;14355;Втулка
КРЫШКА (18-12-183) 18-12-150СП;18-12-150СП;;;18-12-150СП;Крышка
ПЛАСТИНА СТОПОРНАЯ 31364;31364;;;31364;ПЛАСТИНА СТОПОРНАЯ
КОЛЕСО ЗУБЧАТОЕ 16-01-166СП;16-01-166СП;;;16-01-166СП;Колесо зубчатое
КОЛЕСО ЗУБЧАТОЕ 16-01-102;16-01-102;;;16-01-102;Колесо зубчатое
КОЛЬЦО 700-58-2112;700-58-2112;;;700-58-2112;Кольцо пружинное
ОСЬ ШЕСТЕРНИ 16-01-142;16-01-142;;;16-01-142;Ось шестерни
ОСЬ ШЕСТЕРНИ 01463;1463;;;1463;Ось шестерни
КОЛЕСО ЗУБЧАТОЕ 16-01-167СП;16-01-167СП;;;16-01-167СП;Колесо зубчатое
ШЕСТЕРНЯ 51-66-23;51-66-23;;;51-66-23;Колесо зубчатое
ВТУЛКА БР04Ц7С5 51-66-19;51-66-19;;;51-66-19;Втулка
ШПОНКА СЕГМЕНТНАЯ СТ45-В-Н 700-34-2051;700-34-2051;;;700-34-2051;Шпонка сегментная
ШТИФТ 700-32-2186;700-32-2186;;;700-32-2186;Штифт
БОЛТ 700-28-2509 (16137);700-28-2509 (16137);;;;некондиция!!!
ШПИЛЬКА 700-29-2369;700-29-2369;;;700-29-2369;Шпилька, завод изменил резьбу, можно кончать ступицу, ответственный крепежный элемент, завод меняет, чтобы не подделывали
ГИДРОРАСПРЕДЕЛИТЕЛЬ Р160-3/1-111  (Т-130, Т-170);Р160-3/1-111 ;;;;Украина 7100 вход (гидравлик трейд)
ГИДРОРАСПРЕДЕЛИТЕЛЬ Р160-3/1-111  (Т-130, Т-170);Р160-3/1-111 ;;;;хороший!!! Есть по проще 7100 вход (гидравлик трейд)
НАСОС ТОПЛИВНЫЙ 51-67-9СП;51-67-9СП;;;51-67-9СП;Насос топливный Ремонтный у смирнягин, норм за 15 ремонтный
ТОПЛИВОПРОВОДЫ ВЫСОКОГО ДАВЛ 14-69-114СП;14-69-114СП;;;14-69-114СП;Топливопроводы высокого давления
ФОРСУНКА В СБОРЕ 14-69-117-1СП;14-69-117-1СП;;;14-69-117-1СП;Форсунка
РАСПЫЛИТЕЛЬ В СБОРЕ 14-69-107-1СП;14-69-107-1СП;;;14-69-107-1СП;Брак с изолятора брака (может и будут работать, но будут подтекать)
КОЛЬЦО 700-40-2010-01;700-40-2010-01;;;700-40-2010-01;Кольцо явно без проточки (выдавливает топливо)
КОЛЬЦО 40738;40738;;;40738;КОЛЬЦО 40738
ШАЙБА 14-69-46;14-69-46;;;14-69-46;Шайба
КОЛЬЦО 14мм  51-06-8;51-06-8;;;51-06-8;Кольцо
БОЛТ 700-41-2716;700-41-2716;;;700-41-2716;Болт поворотного угольника
НАСОС ТОПЛИВ.ПОДКАЧИВ.Д-180, А-01, А-41   51-71-4СП;51-71-4СП;;;51-71-4СП;Насос топливоподкачивающий
ПРОКЛАДКА 700-40-3323;700-40-3323;;;700-40-3323;ПРОКЛАДКА 700-40-3323
ВАЛ КОЛЕНЧАТЫЙ С ВКЛАДЫШАМИ 16-03-126СП;16-03-126СП;;;16-03-126СП;Коленвал с вкладышами (можно отдельно вал и вкладыши, так дешевле)
РЫЧАГ 50-13-101СП;50-13-101СП;;;50-13-101СП;Рычаг
ВАЛИК В СБОРЕ 24-13-105СП;24-13-105СП;;;24-13-105СП;Валик
РЫЧАГ 35-13-9;35-13-9;;;35-13-9;Рычаг
ВТУЛКА 50-13-56;50-13-56;;;50-13-56;Втулка
ВТУЛКА 50-15-22;50-15-22;;;50-15-22;Втулка
ВТУЛКА 50-13-26;50-13-26;;;;
ВАЛИК 24-13-21;24-13-21;;;24-13-21;Валик
ВАЛИК 24-13-20;24-13-20;;;24-13-20;Валик
ВАЛИК 24-13-18;24-13-18;;;24-13-18;Валик
КОЛЬЦО ПРУЖИННОЕ 18-17-87;18-17-87;;;18-17-87;Кольцо пружинное
РЫЧАГ 51-74-2;51-74-2;;;51-74-2;Рычаг
ВАЛИК 51-74-10;51-74-10;;;51-74-10;Валик
РЫЧАГ 21-74-1;21-74-1;;;21-74-1;Рычаг
ШПОНКА СЕГМЕНТНАЯ 3Х6,5 ГОСТ 700-34-2014;700-34-2014;;;700-34-2014;Шпонка сегментная
ТЯГА 51-74-133СП;51-74-133СП;;;51-74-133СП;Тяга
БОЛТ СПЕЦИАЛЬНЫЙ 12х1,25 12304;12304;;;12304;Болт
РЕМЕНЬ ГЕНЕРАТОРА 11-12,5*9-1090;11-12,5*9-1090;;;11-12,5Х9-1090;РЕМЕНЬ ВЕНТИЛЯТОРНЫЙ 11-12,5Х9-1090
СЕРВОМЕХАНИЗМ 50-15-118СП;50-15-118СП;;;50-15-118СП;Сервомеханизм
СЕРВОМЕХАНИЗМ 21-17-4СП;21-17-4СП;;;;
ЛЕНТА ТОРМОЗНАЯ 18360-01СП;18360-01СП;;;18360-01СП;Лента тормоза
ПАЛЕЦ ПРУЖИНЫ 16127;16127;;;16127;Палец пружины
ПАЛЕЦ СПЕЦИАЛЬНЫЙ 16350;16350;;;16350;Палец
ШАЙБА СТОПОРНАЯ 31317;31317;;;31317;ШАЙБА 31317
МАСЛОПРИЕМНИК 51-09-149СП;51-09-149СП;;;51-09-149СП;Маслоприемник
МАСЛОПРИЕМНИК 51-09-150СП;51-09-150СП;;;;
МАСЛОПРИЕМНИК 51-09-162СП;51-09-162СП;;;51-09-162СП;Маслоприемник
ПРОКЛАДКА 28-16-107СП;28-16-107СП;;;28-16-107СП;ПРОКЛАДКА 28-16-107СП
ПРОКЛАДКА 28-16-24;28-16-24;;;28-16-24;ПРОКЛАДКА 28-16-24
ПРОКЛАДКА 28-16-25;28-16-25;;;28-16-25;ПРОКЛАДКА 28-16-25
КОЛЬЦО 46587-1;46587-1;;;;
КОЛЬЦО 46905;46905;;;46905;КОЛЬЦО 46905
КОЛЬЦО 700-40-7375;700-40-7375;;;700-40-7375;КОЛЬЦО 700-40-7375
КРЫШКА 50-19-143-1;50-19-143-1;;;50-19-143-1;Крышка
КРЫШКА 24-19-1;24-19-1 ;;;;У ЮА вопрос какой-то был…
ВТУЛКА 20733;20733;;;20733;Втулка
ПАЛЕЦ 50-20-49;50-20-49;;;50-20-49;Палец
ГАЙКА 700-30-2275;700-30-2275;;;700-30-2275;Гайка
ШАЙБА 700-31-1;700-31-1;;;700-31-1;Шайба
ГАЙКА 700-30-2195;700-30-2195;;;700-30-2195;Гайка
ПОРШЕНЬ 50-21-14;50-21-14;;;;
ШТОК 24-21-92;24-21-92;;;;
УПОР 35-21-34;35-21-34;;;35-21-34;Упор
БОЛТ ГОСТ7796-70 М20Х50.88.35.019;М20Х50.88.35.019;;;;
СТОПОР 60-21-8;60-21-8;;;60-21-8;Стопор
САЛЬНИК 35-21-40;35-21-40;;;35-21-40;САЛЬНИК 35-21-40
БОЛТ БАШМАЧНЫЙ М20Х1.5Х62;М20Х1.5Х62;;;;
ГАЙКА БАШМАЧНАЯ(М20Х1.5) 30326-1;30326-1;;;;
Рукав ВД М42*2.0 s50 25*2510 4SH;25*2510 s50;;;;
Рукав ВД М27*1.5 s32 16*910-2SN(2к) DK ;16*910 s32;;;;
Рукав ВД М27*1.5 s32 16*1710-2SN DK (2гр);16*1710 s32;;;;
ФИЛЬТР РЕГОТМАС 635-1-06 (М5305М);635-1-06 (М5305М);;;;
ВКЛЮЧАТЕЛЬ ВК322 У-ХЛ;ВК322 У-ХЛ;;;ВК322 У-ХЛ;ВКЛЮЧАТЕЛЬ ВК322 У-ХЛ
БОЛТ М8Х45.88.019;М8Х45.88.019;;;;
БОЛТ 700-28-2376;700-28-2376;;;700-28-2376;Болт
ХОМУТ 16-25-102СП;16-25-102СП;;;16-25-102СП;Хомут
Комплект (гильза,поршень) Д160-1000101 ;Д160-1000101 (741054);;;;
Комплект (гильза,поршень) Д160-01-1000101 ;Д160-01-1000101;;;;
Палец поршневой ЧТЗ 16-03-50-01 Д-160(150мм);16-03-50-01;;;16-03-50-01;Палец поршневой
Палец поршневой ЧТЗ 16-03-50 Д-160(145мм);16.03.1950;;;;
ГАЙКА ГОСТ5915-70 (М8Х20) М8.6Н.019;М8.6Н.019 (М8Х20);;;;
МЕХАНИЗМ НАТЯЖЕНИЯ 50-21-134СП;50-21-134СП;;;;
КОЛЬЦО КН 50Х70-2;КН 50Х70-2;;;;
КОЛЬЦО МЕДНОАСБЕСТОВОЕ 53Х65 40927СП;40927СП;;;;
БОЛТ ГОСТ 7796-70 М8Х35.88.35.019;М8Х35.88.35.019;;;;
БОЛТ М8Х45.88.019;М8Х45.88.019;;;;
БОЛТ ПОЛЫЙ 700-41-3306;700-41-3306;;;700-41-3306;Болт полый
ШТУЦЕР 700-41-2488;700-41-2488;;;700-41-2488;Штуцер
ФИКСАТОР 60-19-10;60-19-10;;;60-19-10;Фиксатор
КРЕСТОВИНА ВЕНТИЛЯТОРА 07146-1СП;07146-1СП;;;07146-1СП;Крестовина вентилятора
СЕРДЦЕВИНА ВОД. РАДИАТОРА 130У.13.020;130У.13.020;;;;
КРЫШКА РАДИАТОРА ТИП2 Г15964-70 А21.05.480СП;А21.05.480СП;;;;
УКАЗАТЕЛЬ ТЕМПЕРАТУРЫ ВОДЫ УК143А-3807010;УК143А-3807010;;;;
КОЖУХ 50-15-156СП;50-15-156СП;;;50-15-156СП;Кожух
РЫЧАГ 24-15-90;24-15-90;;;24-15-90;Рычаг
НАКОНЕЧНИК РЫЧАГА 16133;16133;;;16133;Наконечник рычага
СЕДЛО ШАРИКОВОЙ ГАЙКИ 16134;16134;;;16134;Седло шаровой гайки
ПАЛЕЦ СПЕЦИАЛЬН 16136;16136;;;16136;Палец
ДИСК С НАРУЖНЫМИ ЗУБЬЯМИ 24-16-103СП;24-16-103СП;;;24-16-103СП;Диск с наружными зубьями (явно китай)
ФРИКЦИОН БОРТОВОЙ ПРАВЫЙ  24-16-101СП;24-16-101СП*;;;24-16-101СП;Фрикцион бортовой правый
ФРИКЦИОН БОРТОВОЙ ЛЕВЫЙ 24-16-102СП;24-16-102СП*;;;24-16-102СП;Фрикцион бортовой левый
ГИДРОРАСКОС 50-50-121СП;50-50-121СП;;;50-50-121СП;Гидрораскос не ЧТЗ
ГИДРОРАСКОС 50-50-121СП;50-50-121СП;;;50-50-121СП;Гидрораскос ЧТЗ
РАСКОС 80-52-101СП;80-52-101СП;;;80-52-101СП;Раскос
ПОДКОС 80-52-105СП;80-52-105СП;;;;
ТЯГА 80-52-113СП;80-52-113СП;;;80-52-113СП;Тяга
НОЖ БОКОВОЙ 80-52-111-02;80-52-111-02;;;80-52-111-02;Нож боковой (8 отв на прямой отвал) (бовид поставил ромбовидные на полусф отвал)
НОЖ БОКОВОЙ 80-52-112-02;80-52-112-02;;;80-52-112-02;Нож боковой (8 отв на прямой отвал) (бовид поставил ромбовидные на полусф отвал)
НОЖ СРЕДНИЙ (18 отв.) 80-52-61-01;80-52-61-01;;;;
Опора шаровая ДЗ-110В.00.00;ДЗ-110В.00.00;;;;
КРЫШКА 80-52-83;80-52-83;;;80-52-83;Крышка
БОЛТ 700-28-2518;700-28-2518;;;700-28-2518;Болт
ГАЙКА 30230;30230;;;30230;Гайка
ПАЛЕЦ 80-52-41;80-52-41;;;80-52-41;Палец
ПАЛЕЦ 80-52-30-04;80-52-30-04;;;80-52-30-04;Палец
ГАЙКА 700-30-2352;700-30-2352;;;700-30-2352;Гайка
ПАЛЕЦ 80-52-31;80-52-31;;;80-52-31;Палец
ПАЛЕЦ 80-52-32;80-52-32;;;80-52-32;Палец
КРЕСТОВИНА 80-52-22;80-52-22;;;80-52-22;Крестовина
Подшипник ШСЛ-70;ШС-70;;;;
Подшипник ШС-60К(ШСЛ) (на ГМП БелАЗ 30 тонн);ШС-60К(ШСЛ);;;;
СВЕЧА М8Т1 (м18);М8Т1;;;;
СВЕЧА ЗАЖИГАНИЯ НА ПД-23 А-11;А-11;;;;
ТУРБОКОМПРЕССОР ТКР11Н3   92.000-06 Мелитополь;92.000-06 Мелитополь;;;;
ГУСЕНИЦА 50-22-9СП(24-22-1СП);50-22-9СП;;;;
КАТОК ОДНОБОРТНЫЙ КАТ-21-169СП Б;КАТ-21-169СП Б;;;;
КАТОК ДВУБОРТНЫЙ КАТ-21-170СП Б;КАТ-21-170СП Б;;;;
БОЛТ СМД8-194 М6-6ДХ1;СМД8-194 М6-6ДХ1;;;;
МУФТА УГЛОВАЯ 21-56-44;21-56-44;;;21-56-44;Муфта угловая
ШТУЦЕР 700-41-3413;700-41-3413;;;700-41-3413;Штуцер
ПРОСТАВКА 50-21-245;50-21-245;;;50-21-245;ПРОСТАВКА 50-21-245
ПРОКЛАДКА 24-21-95;24-21-95;;;24-21-95;ПРОКЛАДКА 24-21-95
ПАЛЕЦ ЗАМЫКАЮЩИЙ  24-22-7;24-22-7;;;24-22-7;Палец замыкающий
КОНУС СТОПОРНЫЙ 22109;22109;;;22109;Конус стопорный
ПОДДОН 24-51-1;24-51-1;;;24-51-1;Кожух
ФЛАНЕЦ 18-12-201;18-12-201;;;18-12-201;Фланец
СЕКЦИЯ 1-го и 4-го ЦИЛИНДРОВ 51-67-107-01СП;51-67-107-01СП;;;51-67-107-01СП;Секция топливного насоса
СЕКЦИЯ 2-го и 3-го ЦИЛИНДРОВ 51-67-109-01СП;51-67-109-01СП;;;51-67-109-01СП;Секция топливного насоса
КЛАПАН 67218СП;67218СП;;;67218СП;Клапан нагнетательный
КОЛЬЦО 40975;40975;;;40975;Кольцо
КОЛЬЦО 50-12-538;50-12-538;;;50-12-538;Кольцо
БЛОК-КАРТЕР  ПД-23 17-01-164СП;17-01-164СП;;;17-01-164СП;Блок картера
УПЛОТНЕНИЕ 24-19-119СП*;24-19-119СП*;;;24-19-119СП;Уплотнение
УПЛОТНЕНИЕ 20-19-123СП*;20-19-123СП*;;;20-19-123СП;Уплотнение
ВТУЛКА 18-19-19;18-19-19;;;18-19-19;Втулка
ШАЙБА 30Н65Г09;30Н65Г09;;;30Н65Г09;ШАЙБА ПРУЖИННАЯ 30Н65Г09
ПРОКЛАДКА 700-40-5019;700-40-5019;;;700-40-5019;ПРОКЛАДКА 700-40-5019
ВТУЛКА 24-21-42;24-21-42;;;;
РЕМКОМПЛЕКТ ГИДРОЦИЛИНДРА 18-26-270СП;18-26-270 Р/К;;;;
КОЛЬЦО У100Х95;У100Х95;;;;
ГАЙКА 700-30-2047;700-30-2047;;;700-30-2047;Гайка
БОЛТ СТЯЖНОЙ 51-05-116СП;51-05-116СП;;;51-05-116СП;Болт стяжной
КРОНШТЕЙН 59-10-6;59-10-6;;;59-10-6;Кронштейн
ВТУЛКА 59-10-7;59-10-7;;;59-10-7;Втулка
КОЛЬЦО 59-10-2;59-10-2;;;59-10-2;КОЛЬЦО 59-10-2
ШТИФТ 700-32-2198;700-32-2198;;;700-32-2198;Штифт 2.10х20 ГОСТ 3128-70
СТАРТЕР 2516.3708.000;2516.3708.000;;;2516.3708.000;СТАРТЕР 2516.3708.000
ВЕНЕЦ 59-03-21;59-03-21;;;59-03-21;Венец
ПЛАСТИНА ЗАМКОВАЯ 31334;31334;;;31334;ПЛАСТИНА 31334
БОЛТ 28452;28452;;;28452;Болт
КАРТЕР 51-01-123СП;51-01-123СП;;;51-01-123СП;Картер
КРЫШКА КАРТЕРА 51-01-180СП;51-01-180СП;;;51-01-180СП;Крышка
КОЛЬЦО УПЛОТНИТЕЛЬНОЕ 111.30.123.01 (Украина);111.30.123.01;;;;
КОЛЬЦО УПЛОТНИТЕЛЬНОЕ 111.30.123.01 (Россия);111.30.123.02;;;;
ВАЛИК ПРИВОДА НАСОСА 51-09-132СП;51-09-132СП;;;51-09-132СП;Валик привода насоса
ФИЛЬТР-ПАТРОН А41.10.000-02СП (В4308М) основной;А41.10.000-02СП (В4308М);;;;
ФИЛЬТР-ПАТРОН А41.10.000-01СП (В4308-01М) малый;А41.10.000-01СП(В4308М-1);;;;
ПРОКЛАДКА  60-10165.00;60-10165.00;;;;
ВКЛЮЧАТЕЛЬ "МАССЫ"  ВК318Б У-ХЛ;ВК318Б У-ХЛ;;;;
ПРОВОД 19 50-10-279СП;50-10-279СП;;;;
ПРОВОД 153 50-10-285СП;50-10-285СП;;;50-10-285СП;ПРОВОД 50-10-285СП
ПРОВОД 22 50-10-294СП;50-10-294СП;;;50-10-294СП;ПРОВОД 22 50-10-294СП
